2025-11-16 15:32:57.274 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:33:07.281 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:33:17.283 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:33:27.289 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:33:37.297 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:33:47.304 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:33:57.310 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:34:07.316 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:34:17.322 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:34:27.330 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:34:37.335 | WARNING  | main:<module>:33 - Input file /app/data/processed/posts.parquet not found. Waiting 10 seconds for preprocess service...
2025-11-16 15:35:25.145 | INFO     | main:<module>:28 - Model API service starting up...
2025-11-16 15:35:25.146 | INFO     | main:<module>:36 - Loading data from /app/data/processed/posts.parquet...
2025-11-16 15:35:25.161 | SUCCESS  | main:<module>:39 - Successfully loaded data. 2266 rows.
2025-11-16 15:45:00.715 | INFO     | main:run_clustering:76 - Received clustering request: k=100, method=PCA
2025-11-16 15:45:00.726 | INFO     | model:batch_seq:26 - Splitting text into 100 parts of 7734 characters each
2025-11-16 15:45:00.728 | INFO     | model:batch_seq:29 - Removing 1 parts
2025-11-16 15:45:00.966 | INFO     | model:reduce_dims:51 - Using PCA
2025-11-16 15:45:00.999 | SUCCESS  | main:run_clustering:92 - Clustering complete.
